"","ID","MNAME","MCRNUM","MAPP8","MAPP5","HOSPBD"
"36","6420910","King's Daughters' Health",150069,2,2,77
"37","6420920","Marion General Hospital",150011,2,2,115
"38","6820240","Saint Alphonsus Medical Center - Nampa",130013,2,2,118
"39","6820265","Clearwater Valley Hospital and Clinics",131320,2,2,23
"40","6820280","State Hospital North",NA,2,2,60
"41","6820310","Franklin County Medical Center",131322,2,2,65
"42","6820330","Madison Memorial Hospital",130025,2,2,69
"43","6820338","Minidoka Memorial Hospital",131319,2,2,74
"44","6820347","Benewah Community Hospital",131317,2,2,19
"45","6820355","Steele Memorial Medical Center",131305,2,2,18
"46","6820360","Bonner General Hospital",131328,2,2,25
"47","6820370","Caribou Memorial Hospital and Living Center",131309,2,2,55
"48","6820380","St. Luke's Magic Valley Medical Center",130002,2,1,197
"49","6820405","Weiser Memorial Hospital",131307,2,2,25
"50","6830001","Cheyenne Regional Medical Center",530014,2,2,222
"51","6830002","Elkhorn Valley Rehabilitation Hospital",533027,2,2,40
"52","6830010","Star Valley Medical Center",531313,2,2,44
"53","6830025","Wyoming Behavioral Institute",534004,2,2,130
"54","6830035","Johnson County Healthcare Center",531308,2,2,75
"55","6830040","Wyoming Medical Center",530012,2,2,192
"56","6830060","Cheyenne Veterans Affairs Medical Center",NA,2,2,21
"57","6830069","Mountain View Regional Hospital",530033,2,2,23
"58","6830072","West Park Hospital",531312,2,2,140
"59","6830080","Memorial Hospital of Converse County",531302,2,2,25
"60","6830085","Evanston Regional Hospital",530032,2,2,42
"61","6830090","Wyoming State Hospital",534001,2,2,183
"62","6830115","Campbell County Memorial Hospital",530002,2,2,215
"63","6830125","South Big Horn County Hospital",531301,2,2,43
"64","6830150","St. John's Medical Center and Living Center",530015,2,2,100
"65","6830160","South Lincoln Medical Center",531315,2,2,40
"66","6830170","Lander Regional Hospital",530010,2,2,89
"67","6830190","Ivinson Memorial Hospital",530025,2,2,99
"68","6830205","North Big Horn Hospital District",531309,2,2,100
"69","6830210","Niobrara Health and Life Center",531314,2,2,24
"70","6830224","Weston County Health Services",531303,2,2,75
"71","6830225","Powell Valley Healthcare",531310,2,2,125
"72","6830227","Memorial Hospital of Carbon County",531316,2,2,25
"73","6830230","Memorial Hospital of Sweetwater County",530011,2,2,58
"74","6830240","Riverton Memorial Hospital",530008,2,2,37
"75","6710050","Rivendell Behavioral Health Services of Arkansas",44007,2,2,77
"76","6710055","Great River Medical Center",40069,2,2,73
"77","6710070","Booneville Community Hospital",41318,2,2,25
"78","6710077","Community Medical Center of Izard County",41306,2,2,25
"79","6710083","Ouachita County Medical Center",40050,2,2,65
"80","6710100","Johnson Regional Medical Center",40002,2,1,80
"81","6710108","Ozark Health Medical Center",41313,2,2,143
"82","6710110","Conway Regional Medical Center",40029,2,2,154
"83","671011A","Baptist Health Medical Center-Heber Springs",41312,2,2,25
"84","6710120","Ashley County Medical Center",41323,2,2,33
"85","6710130","Chambers Memorial Hospital",40011,2,2,41
"86","6710134","River Valley Medical Center",41302,2,2,35
"87","6710140","De Queen Medical Center",41319,2,2,35
"88","6710145","Medical Center of South Arkansas",40088,2,2,116
"89","6710157","DeWitt Hospital",41314,2,2,85
"90","6710159","Baptist Health Extended Care Hospital",42012,2,2,37
"91","6710160","Delta Memorial Hospital",41326,2,2,25
"92","6710161","Ozarks Community Hospital",41331,2,2,15
"93","6710162","Springwoods Behavioral Health Hospital",44019,2,2,80
"94","6710165","Vista Health",44004,2,2,92
"95","6710175","Eureka Springs Hospital",41304,2,2,15
"96","6710190","Veterans Health Care System of the Ozarks",NA,2,1,72
"97","6710195","Washington Regional Medical Center",40004,2,2,270
"98","6710196","Dallas County Medical Center",41317,2,2,25
"99","6710198","Forrest City Medical Center",40019,2,2,70
"100","6710210","Mercy Hospital Fort Smith",40062,2,1,383
"101","6710220","Sparks Regional Medical Center",40055,2,1,303
"102","6710227","North Arkansas Regional Medical Center",40017,2,2,122
"103","6710230","HEALTHSOUTH Rehabilitation Hospital of Fort Smith",43028,2,2,60
"104","6710239","Physicians' Specialty Hospital",40152,2,2,21
"105","6710240","Helena Regional Medical Center",40085,2,2,100
"106","6710241","Vista Health Texarkana",44020,2,2,62
"107","6710280","Levi Hospital",40132,2,2,49
"108","6710290","National Park Medical Center",40078,2,2,191
"109","6710300","Mercy Hospital Hot Springs",40026,2,2,282
"110","6710314","North Metro Medical Center",40074,2,2,76
"111","6710320","St. Bernards Medical Center",40020,2,2,380
"112","6910780","Virginia Mason Medical Center",500005,1,1,291
"113","6910802","Kindred Hospital Seattle-Northgate",502002,2,2,42
"114","6910807","Swedish/Edmonds",500026,2,2,161
"115","6910810","United General Hospital",501329,2,2,25
"116","6910830","Mason General Hospital",501336,2,2,25
"117","6910860","Willapa Harbor Hospital",501303,2,2,15
"118","6910867","Valley Hospital",500119,2,2,123
"119","6910880","Deaconess Hospital",500044,2,1,388
"120","6910894","Providence Holy Family Hospital",500077,2,1,180
"121","6910980","Providence Sacred Heart Medical Center & Children's Hospital",500054,2,1,642
"122","6910990","St. Luke's Rehabilitation Institute",503025,2,2,72
"123","6911000","Shriners Hospitals for Children-Spokane",503302,2,2,30
"124","6911005","Spokane Veterans Affairs Medical Center",NA,2,1,70
"125","6911008","Sunnyside Community Hospital",501330,2,2,25
"126","6911018","MultiCare Tacoma General Hospital",500129,2,2,402
"127","6911027","St. Clare Hospital",500021,2,2,106
"128","6911030","Madigan Healthcare System",NA,2,1,227
"129","6911033","MultiCare Mary Bridge Children's Hospital and Health Center",503301,2,2,72
"130","6911060","St. Joseph Medical Center",500108,2,2,366
"131","6911113","North Valley Hospital",501321,2,2,83
"132","6911115","Toppenish Community Hospital",500037,2,2,63
"133","6911130","PeaceHealth Southwest Medical Center",500050,2,1,450
"134","6911170","Providence St. Mary Medical Center",500002,2,2,79
"135","6911180","Jonathan M. Wainwright Memorial Veterans Affairs Medical Center",NA,2,2,14
"136","6911190","Walla Walla General Hospital",500049,2,2,37
"137","6911195","Central Washington Hospital",500016,2,2,198
"138","6911200","State Penitentiary Hospital",NA,2,2,36
"139","6911230","Skyline Hospital",501315,2,2,25
"140","6911240","Yakima Regional Medical and Cardiac Center",500012,2,2,214
"141","6911260","Yakima Valley Memorial Hospital",500036,2,1,226
"142","6918055","St. Francis Hospital",500141,2,2,124
"143","6919025","Cascade Medical Center",501313,2,2,9
"144","6919030","Morton General Hospital",501319,2,2,25
"145","6919096","Swedish/Issaquah",500152,2,2,49
"146","6920003","Legacy Emanuel Hospital and Health Center",380007,2,1,419
"147","6920004","Tuality Healthcare",380021,2,1,148
"148","6920005","Three Rivers Medical Center",380002,2,2,107
"149","6743330","Texas Health Harris Methodist Hospital Stephenville",450351,2,2,54
"150","6743345","Hopkins County Memorial Hospital",450236,2,2,50
"151","6743347","Sweeny Community Hospital",451311,2,2,14
"152","6743360","Rolling Plains Memorial Hospital",450055,2,2,52
"153","6743364","Lynn County Hospital District",451351,2,2,24
"154","6743366","Scott & White Hospital - Taylor",451374,2,2,23
"155","6743413","Scott and White Memorial Hospital",450054,1,1,638
"156","6743480","Terrell State Hospital",454006,2,1,316
"157","6743510","Wadley Regional Medical Center",450200,2,2,177
"158","6743545","Throckmorton County Memorial Hospital",451339,2,2,14
"159","6743552","East Texas Medical Center Trinity",450749,2,2,22
"160","6743555","Swisher Memorial Hospital District",451349,2,2,20
"161","6743556","University of Texas Health Science Center at Tyler",450690,2,1,116
"162","6743557","Tomball Regional Medical Center",450670,2,2,289
"163","6743570","Mother Frances Hospital - Tyler",450102,2,2,392
"164","6743580","Uvalde County Hospital Authority",450177,2,2,48
"165","6743581","Culberson Hospital",451338,2,2,14
"166","6743621","Wilbarger General Hospital",450584,2,2,27
"167","6743625","Citizens Medical Center",450023,2,2,296
"168","6743630","DeTar Healthcare System",450147,2,2,222
"169","6743643","North Texas State Hospital",NA,2,2,640
"170","6743650","Hillcrest Baptist Medical Center",450101,2,1,262
"171","6743660","Providence Health Center",450042,2,1,647
"172","6743715","Weatherford Regional Medical Center",450203,2,2,86
"173","6743720","Collingsworth General Hospital",451355,2,2,13
"174","6743723","Knapp Medical Center",450128,2,2,202
"175","6743725","Gulf Coast Medical Center",450214,2,2,129
"176","6743745","Parkview Hospital",451334,2,2,16
"177","6743755","Hickory Trail Hospital",454065,2,2,86
"178","6743756","Lake Whitney Medical Center",450270,2,2,25
"179","6743770","Red River Hospital",454018,2,2,74
"180","6743780","North Texas State Hospital, Wichita Falls Campus",454008,2,1,381
"181","6743797","North Runnels Hospital",451315,2,2,21
"182","6743799","Tyler County Hospital",450460,2,2,25
"183","6743800","Yoakum Community Hospital",451346,2,2,25
"184","6744010","Rio Grande Regional Hospital",450711,2,1,320
"185","6744020","Memorial Hermann Sugar Land Hospital",450848,2,1,77
"186","6742360","Covenant Medical Center",450040,2,1,646
"187","6742372","University Medical Center",450686,1,1,402
"188","6742377","Grace Medical Center",450162,2,1,59
"189","6742390","Woodland Heights Medical Center",450484,2,2,115
"190","6742395","Memorial Medical Center - Lufkin",450211,2,2,217
"191","6742397","Seton Edgar B. Davis Hospital",451371,2,2,25
"192","6742402","Madison St. Joseph Health Center",451316,2,2,25
"193","6742423","Falls Community Hospital and Clinic",450348,2,2,32
"194","6742430","Good Shepherd Medical Center-Marshall",450032,2,2,142
"195","6742470","McCamey County Hospital District",451309,2,2,44
"196","6742533","Parkview Regional Hospital",450400,2,2,58
"197","6742561","Mission Regional Medical Center",450176,2,2,245
"198","6742564","Ward Memorial Hospital",451373,2,2,25
"199","6742566","Cochran Memorial Hospital",451366,2,2,13
"200","6742567","Palo Pinto General Hospital",450565,2,2,42
"201","6742573","Titus Regional Medical Center",450080,2,2,92
"202","6742574","Muenster Memorial Hospital",451335,2,2,18
"203","6742575","East Texas Medical Center-Mount Vernon",450373,2,2,30
"204","6742577","Muleshoe Area Medical Center",451372,2,2,25
"205","6742582","Nacogdoches Memorial Hospital",450508,2,2,118
"206","6742583","Nacogdoches Medical Center",450656,2,2,109
"207","6742590","Grimes St. Joseph Health Center",451322,2,2,18
"208","6742635","Nocona General Hospital",450641,2,2,25
"209","6742660","Medical Center Health System",450132,1,1,326
"210","6742665","Odessa Regional Medical Center",450661,2,1,230
"211","6742670","Hamilton Hospital",451354,2,2,25
"212","6742695","Baptist Orange Hospital",450005,2,2,40
"213","6742717","Palacios Community Medical Center",451332,2,2,11
"214","6742719","Palestine Regional Medical Center",453089,2,2,12
"215","6742720","Palestine Regional Medical Center-East",450747,2,2,113
"216","6742735","Pampa Regional Medical Center",450099,2,2,50
"217","6742778","Bayshore Medical Center",450097,2,1,476
"218","6742801","Frio Regional Hospital",450293,2,2,22
"219","6742811","Reeves County Hospital",451377,2,2,25
"220","6742814","Ochiltree General Hospital",451359,2,2,25
"221","6742830","East Texas Medical Center Pittsburg",451367,2,2,25
"222","6742840","Covenant Hospital Plainview",450539,2,2,68
"223","6330190","Providence Hospital",90006,2,1,541
"224","6330200","St. Elizabeths Hospital",94001,2,1,292
"225","6330210","Sibley Memorial Hospital",90005,2,1,246
"226","6330215","United Medical Center",90008,2,2,354
"227","6330250","Washington DC Veterans Affairs Medical Center",NA,2,1,291
"228","6330281","Psychiatric Institute of Washington",94004,2,1,114
"229","6340002","Southern Virginia Mental Health Institute",494017,2,2,72
"230","6340005","Augusta Health",490018,2,1,224
"231","6340007","Keystone Newport News",NA,2,2,68
"232","6340008","Lewis-Gale Medical Center",490048,2,2,521
"233","6340009","CJW Medical Center",490112,2,1,758
"234","6340010","Johnston Memorial Hospital",490053,2,2,116
"235","6340011","HEALTHSOUTH Rehabilitation Hospital of Virginia",493028,2,2,40
"236","6340012","Henrico Doctors' Hospital",490118,2,2,571
"237","6340013","Centra Lynchburg General Hospital",490021,2,1,1081
"238","6340014","Dickenson Community Hospital",491303,2,2,2
"239","6340015","UVA-HEALTHSOUTH Rehabilitation Hospital",493029,2,1,50
"240","6340017","Snowden at Fredericksburg",NA,2,2,30
"241","6340018","Virginia Beach Psychiatric Center",494025,2,2,100
"242","6340020","Inova Alexandria Hospital",490040,2,1,334
"243","6340021","Bon Secours St. Francis Medical Center",490136,2,2,130
"244","6340022","Hospital for Extended Recovery",492007,2,2,35
"245","6340023","Spotsylvania Regional Medical Center",490141,2,2,100
"246","6340025","Reston Hospital Center",490107,2,2,187
"247","6340064","Kindred Hospital Richmond",492009,2,2,60
"248","6340030","Inova Mount Vernon Hospital",490122,2,1,237
"249","6340040","Virginia Hospital Center - Arlington",490050,2,1,357
"250","6340047","Capital Hospice",490129,2,2,15
"251","6340050","Bedford Memorial Hospital",490088,2,2,124
"252","6340055","Wellmont Lonesome Pine Hospital",490114,2,2,60
"253","6340080","Piedmont Geriatric Hospital",490134,2,2,150
"254","6340100","Catawba Hospital",490135,2,2,110
"255","6340120","Martha Jefferson Hospital",490077,2,1,139
"256","6340140","LewisGale Hospital Montgomery",490110,2,2,103
"257","6340145","Chesapeake Regional Medical Center",490120,2,2,310
"258","6340146","HEALTHSOUTH Rehabilitation Hospital of Fredericksburg",493032,2,2,40
"259","6340147","HEALTHSOUTH Rehabilitation Hospital of Petersburg",493031,2,2,53
"260","6040260","St. Luke's Episcopal Hospital",400044,2,1,334
"261","6040290","Dr. Ramon E. Betances Hospital-Mayaguez Medical Center Branch",400103,2,1,181
"262","6040294","Hospital Universitario Dr. Ramon Ruiz Arnau",400105,2,1,102
"263","6040300","State Psychiatric Hospital",404006,2,1,153
"264","6040325","Doctors Center",400118,2,2,150
"265","6040345","Hospital De La Concepcion",400021,2,1,167
"266","6040369","Hospital Psiquiatrico Metropolitano",404007,2,2,43
"267","6040370","Ashford Presbyterian Community Hospital",400001,2,2,195
"268","6040377","San Juan City Hospital",400015,2,1,267
"269","6040395","Hospital San Gerardo",400121,2,2,60
"270","6040400","Veterans Affairs Caribbean Healthcare System",NA,2,1,330
"271","6040405","San Juan Capestrano Hospital",404005,2,2,108
"272","6040420","Doctors' Center Hospital San Juan",400006,2,2,125
"273","6040425","Hospital de la Universidad de Puerto Rico/Dr. Federico Trilla",400112,2,1,250
"274","6040432","Hospital Pavia-Hato Rey",400128,2,1,180
"275","6040435","Hospital Pavia-Santurce",400019,2,2,215
"276","6040444","San Jorge Children's Hospital",NA,2,1,125
"277","6040445","I. Gonzalez Martinez Oncologic Hospital",400012,2,1,47
"278","6040448","Industrial Hospital",NA,2,2,108
"279","6040475","First Hospital Panamericano",404004,2,1,153
"280","6040500","University Pediatric Hospital",403301,2,1,145
"281","6048006","Caribbean Medical Center",400131,2,2,39
"282","6048007","Centro De Salud Conductual Menonita-CIMA",404009,2,2,20
"283","6050010","Schneider Regional Medical Center",480001,2,2,123
"284","6640475","Wishek Community Hospital and Clinics",351321,2,1,17
"285","6650002","Rapid City Regional Hospital",430077,2,1,394
"286","6650003","Avera Queen of Peace Hospital",430013,2,2,196
"287","6650004","Avera St. Luke's Hospital",430014,2,2,270
"288","6650006","Veterans Affairs Black Hills Health Care System",NA,2,1,308
"289","6650007","Sanford USD Medical Center",430027,1,1,511
"290","6650008","Avera Heart Hospital of South Dakota",430095,2,2,53
"291","6650009","Black Hills Surgery Center",430091,2,2,26
"292","6650011","Sioux Falls Specialty Hospital",430090,2,2,35
"293","6650012","Siouxland Surgery Center",430089,2,2,40
"294","6650013","Dakota Plains Surgical Center",430092,2,2,15
"295","6650014","Same Day Surgery Center",430093,2,2,8
"296","6650015","Douglas County Memorial Hospital",431305,2,2,11
"297","6150091","St. Joseph Health Services of Rhode Island",410005,2,2,231
"298","6150110","Butler Hospital",414000,2,1,117
"299","6150130","Miriam Hospital",410012,1,1,247
"300","6150140","Women & Infants Hospital of Rhode Island",410010,1,1,247
"301","6150150","Rhode Island Hospital",410007,1,1,645
"302","6150160","Roger Williams Medical Center",410004,1,1,177
"303","6150185","Providence Veterans Affairs Medical Center",NA,2,1,73
"304","6150200","South County Hospital",410008,2,2,85
"305","6150205","Landmark Medical Center",410011,2,2,140
"306","6150215","Kent County Memorial Hospital",410009,2,2,306
"307","6150220","Westerly Hospital",410013,2,2,100
"308","6160001","MidState Medical Center",70017,2,2,134
"309","6160002","Bridgeport Hospital",70010,1,1,337
"310","6160003","Hartford Hospital",70025,1,1,798
"311","6160004","Saint Francis Hospital and Medical Center",70002,1,1,569
"312","6160005","The Connecticut Hospice",70038,2,2,52
"313","6160006","Connecticut Valley Hospital",74003,2,1,604
"314","6160007","Veterans Affairs Connecticut Healthcare System",NA,1,1,197
"315","6160009","Stamford Hospital",70006,1,1,305
"316","6160010","St. Vincent's Medical Center",70028,2,1,414
"317","6160011","Mount Sinai Rehabilitation Hospital",73025,2,2,30
"318","6160013","The Hospital of Central Connecticut",70035,1,1,229
"319","6160015","Wellspring Foundation",NA,2,2,36
"320","6160035","Southwest Connecticut Mental Health System",74012,2,2,62
"321","6160070","Bristol Hospital",70029,2,1,134
"322","6160100","Danbury Hospital",70033,1,1,344
"323","6160120","Griffin Hospital",70031,2,2,111
"324","6160160","Greenwich Hospital",70018,2,1,174
"325","6160215","University of Connecticut Health Center, John Dempsey Hospital",70036,1,1,174
"326","6160219","The Hospital at Hebrew Health Care",70040,2,2,322
"327","6160280","Manchester Memorial Hospital",70027,2,1,156
"328","6160331","Albert J. Solnit Psychiatric Center - South Campus",NA,2,1,102
"329","6160340","Middlesex Hospital",70020,2,1,215
"330","6160350","Milford Hospital",70019,2,2,87
"331","6160370","Hospital for Special Care",72004,2,1,219
"332","6160380","Silver Hill Hospital",74014,2,2,60
"333","6160400","Yale-New Haven Hospital",70022,1,1,1571
"334","6060015","Guam Memorial Hospital Authority",650001,2,2,104
"335","6070010","Lyndon B. Johnson Tropical Medical Center",640001,2,2,125
"336","6214410","St. Francis Hospital",330182,2,2,306
"337","6220740","Jersey Shore University Medical Center",310073,1,1,546
"338","6060020","U. S. Naval Hospital Guam",NA,2,2,55
"339","6220758","Clara Maass Medical Center",310009,2,1,429
"340","6220761","Virtua Berlin",310022,2,2,83
"341","6221630","Inspira Medical Center-Woodbury",310081,2,1,240
"342","6390160","Mease Countryside Hospital",100265,2,2,300
"343","6080001","Commonwealth Health Center",660001,2,2,86
"344","6390161","Florida Hospital DeLand",100045,2,2,156
"345","6390170","Mease Dunedin Hospital",100043,2,2,124
"346","6420008","Community Hospital of Anderson and Madison County",150113,2,2,318
"347","6110002","Acadia Hospital",204006,2,2,68
"348","6420011","Rehabilitation Hospital of Fort Wayne",153030,2,2,36
"349","6420012","Southern Indiana Rehabilitation Hospital",153037,2,2,60
"350","6110003","Mid Coast Hospital",200021,2,2,92
"351","6420130","Indiana University Health Bloomington Hospital",150051,2,1,293
"352","6421370","Indiana University Health Tipton Hospital",151311,2,2,25
"353","6110008","Mercy Hospital of Portland",200008,2,2,148
"354","6450440","St. Mary's Hospital Medical Center",520097,2,2,83
"355","6520045","Baptist Memorial Restorative Care Hospital",442010,2,2,30
"356","6110020","Riverview Psychiatric Center",204007,2,2,92
"357","6110040","Dorothea Dix Psychiatric Center",204004,2,2,51
"358","6110050","Eastern Maine Medical Center",200033,2,1,357
"359","6110070","St. Joseph Hospital",200001,2,2,84
"360","6110090","Mount Desert Island Hospital",201304,2,2,25
"361","6110120","Waldo County General Hospital",201312,2,2,25
"362","6110140","Southern Maine Medical Center",200019,2,2,110
"363","6110150","Blue Hill Memorial Hospital",201300,2,2,25
"364","6110160","St. Andrews Hospital and Healthcare Center",201302,2,2,73
"365","6110167","Bridgton Hospital",201310,2,2,22
"366","6110173","Parkview Adventist Medical Center",200025,2,2,55
"367","6110180","Calais Regional Hospital",201305,2,2,25
"368","6110200","Cary Medical Center",200031,2,2,49
"369","6110220","Miles Memorial Hospital",200002,2,2,38
"370","6110240","Mayo Regional Hospital",201309,2,2,25
"371","6540024","Promise Hospital of Vicksburg",252008,2,2,33
"372","6540027","Select Specialty Hospital-Jackson",252007,2,2,53
"373","6540028","AMG Specialty Hospital-Greenwood",252010,2,2,40
"374","6540029","Select Specialty Hospital-Gulf Coast",252005,2,2,61
"375","6540030","Greene County Hospital",251329,2,2,3
"376","6540031","Regency Hospital of Jackson",252012,2,2,36
"377","6540032","Delta Regional Medical Center",250082,2,2,217
"378","6540033","Batesville Specialty Hospital",252011,2,2,12
"379","6540036","Jasper General Hospital",250018,2,2,126
"380","6540037","Hancock Medical Center",250162,2,2,47
"381","6540040","Patient's Choice Medical Center of Humphreys County",251311,2,2,34
"382","6540049","Biloxi Regional Medical Center",250007,2,2,198
"383","6540060","U. S. Air Force Medical Center Keesler",NA,2,1,56
"384","6540070","Veterans Affairs Gulf Coast Veterans Health Care System",NA,2,1,392
"385","6540080","Baptist Memorial Hospital-Booneville",250044,2,2,66
"386","6540100","Crossgates River Oaks Hospital",250096,2,2,149
"387","6540110","King's Daughters Medical Center",250057,2,2,103
"388","6540116","Calhoun Health Services",251331,2,2,150
"389","6540120","Madison River Oaks Medical Center",250038,2,2,67
"390","6540123","Baptist Medical Center Leake",251315,2,2,69
"391","6540130","Field Memorial Community Hospital",251309,2,2,25
"392","6540135","Tallahatchie General Hospital",251304,2,2,116
"393","6540156","Northwest Mississippi Regional Medical Center",250042,2,2,195
"394","6540161","Bolivar Medical Center",250093,2,2,127
"395","6540165","Covington County Hospital",251325,2,2,94
"396","6540170","Marion General Hospital",250085,2,2,49
"397","6540206","Magnolia Regional Health Center",250009,2,2,164
"398","6540210","Woman's Hospital",250136,2,2,60
"399","6540215","South Central Regional Medical Center",250058,2,2,433
"400","6540235","S. E. Lackey Memorial Hospital",251300,2,2,55
"401","6540280","Greenwood Leflore Hospital",250099,2,2,196
"402","6540290","Grenada Lake Medical Center",250015,2,2,140
"403","6540295","Garden Park Medical Center",250123,2,2,130
"404","6540300","Memorial Hospital at Gulfport",250019,2,2,445
"405","6540315","Forrest General Hospital",250078,2,1,512
"406","6540320","Wesley Medical Center",250094,2,2,211
"407","6540332","Hardy Wilson Memorial Hospital",251327,2,2,25
"408","6840665","Haxtun Hospital District",61304,2,2,25
"409","6840683","Melissa Memorial Hospital",61305,2,2,15
"410","6840740","Craig Hospital",62011,2,1,85
"411","6840750","Prowers Medical Center",61323,2,2,25
"412","6840755","Longmont United Hospital",60003,2,2,146
"413","6840760","St. Vincent General Hospital District",61319,2,2,25
"414","6840782","McKee Medical Center",60030,2,2,105
"415","6840785","Pioneers Medical Center",61325,2,2,46
"416","6840795","Montrose Memorial Hospital",60006,2,2,69
"417","6840805","Littleton Adventist Hospital",60113,2,2,202
"418","6840830","Colorado Mental Health Institute at Pueblo",60115,2,1,514
"419","6840840","St. Mary-Corwin Medical Center",60012,2,2,202
"420","6840850","Parkview Medical Center",60020,2,2,370
"421","6840875","Rangely District Hospital",61307,2,2,25
"422","6840885","Grand River Hospital District",61317,2,2,70
"423","6840900","Heart of the Rockies Regional Medical Center",61322,2,2,25
"424","6840911","Southeast Colorado Hospital District",61311,2,2,79
"425","6840915","Yampa Valley Medical Center",60049,2,2,98
"426","6840920","Sterling Regional MedCenter",60076,2,2,25
"427","6840940","Mt. San Rafael Hospital",61321,2,2,25
"428","6840950","Vail Valley Medical Center",60096,2,2,58
"429","6840952","Spanish Peaks Regional Health Center",61316,2,2,20
"430","6840965","St. Anthony North Hospital",60104,2,2,138
"431","6840980","Wray Community District Hospital",61309,2,2,16
"432","6840985","Yuma District Hospital",61315,2,2,12
"433","6849015","Cleo Wallace Centers Hospital",NA,2,2,61
"434","6849090","Weisbrod Memorial County Hospital",61300,2,2,42
"435","6849120","Community Hospital",60054,2,2,42
"436","6849160","Lincoln Community Hospital and Nursing Home",61306,2,2,50
"437","6849170","Middle Park Medical Center",61318,2,2,19
"438","6850001","Kindred Hospital-Albuquerque",322002,2,2,61
"439","6850002","Eastern New Mexico Medical Center",320006,2,1,149
"440","6850007","Gerald Champion Regional Medical Center",320004,2,2,102
"441","6850011","New Mexico Rehabilitation Center",323026,2,2,41
"442","6850012","Plains Regional Medical Center",320022,2,2,106
"443","6850016","MountainView Regional Medical Center",320085,2,2,142
"444","6850017","Roosevelt General Hospital",320084,2,2,22
"445","6710331","Chicot Memorial Medical Center",41328,2,2,25
"446","6710340","Arkansas Children's Hospital",43300,1,1,306
"447","6710325","NEA Baptist Memorial Hospital",40118,2,2,100
"448","6710335","Baptist Health Medical Center-Little Rock",40114,2,1,687
"449","6710345","Baptist Health Rehabilitation Institute",43026,2,1,100
"450","6710350","Arkansas State Hospital",44011,2,1,222
"451","6710400","St. Vincent Infirmary Medical Center",40007,2,2,447
"452","6710440","UAMS Medical Center",40016,1,1,438
"453","6710445","Central Arkansas Veterans Healthcare System",NA,1,1,551
"454","6710448","McGehee-Desha County Hospital",41308,2,2,25
"455","6710450","Magnolia Regional Medical Center",40067,2,2,49
"456","6710451","Wadley Regional Medical Center at Hope",40091,2,2,79
"457","6710455","H.S.C. Medical Center",40076,2,2,72
"458","6710460","Mena Regional Health System",40015,2,2,35
"459","6710465","Mercy Hospital Paris",41300,2,2,16
"460","6710470","Drew Memorial Hospital",40051,2,2,49
"461","6710480","St. Vincent Morrilton",41324,2,2,25
"462","6710482","Baxter Regional Medical Center",40027,2,2,209
"463","6710484","Stone County Medical Center",41310,2,2,25
"464","6710485","Howard Memorial Hospital",41311,2,2,20
"465","6710490","The BridgeWay",44005,2,2,103
"466","6710493","Harris Hospital",40080,2,2,104
"467","6710505","South Mississippi County Regional Medical Center",41316,2,2,25
"468","6710497","Baptist Health Medical Center - North Little Rock",40036,2,2,220
"469","6710510","Arkansas Methodist Medical Center",40039,2,2,125
"470","6710515","Piggott Community Hospital",41330,2,2,25
"471","6710520","Jefferson Regional Medical Center",40071,2,1,333
"472","6710525","Five Rivers Medical Center",40047,2,2,46
