"","PROVIDER_NUMBER","HOSPITAL","TACMIV31"
"135",30083,"PARADISE VALLEY HOSPITAL",1.52456147
"136",30084,"CHINLE COMPREHENSIVE HEALTH CARE FACILITY",0.942533124
"137",30085,"NORTHWEST MEDICAL CENTER",1.654433146
"138",30087,"SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER",1.855602085
"139",30088,"BANNER BAYWOOD MEDICAL CENTER",1.439053278
"140",30089,"BANNER THUNDERBIRD MEDICAL CENTER",1.623613029
"141",30092,"JOHN C LINCOLN DEER VALLEY HOSPITAL",1.686751584
"142",30093,"BANNER DEL E WEBB MEDICAL CENTER",1.425413763
"143",30094,"ARROWHEAD HOSPITAL",1.663201259
"144",30100,"CARONDELET HEART AND VASCULAR INSTITUTE",2.511390804
"145",30101,"WESTERN ARIZONA REGIONAL MEDICAL CTR",1.461540814
"146",30103,"MAYO CLINIC HOSPITAL",2.092624783
"147",30105,"BANNER HEART HOSPITAL",2.324096246
"148",30107,"ARIZONA SPINE AND JOINT HOSPITAL",2.230906249
"149",30108,"SURGICAL SPECIALTY HOSPITAL OF ARIZONA",2.617958714
"150",30110,"WEST VALLEY HOSPITAL",1.501217654
"151",30111,"UNIVERSITY PHYSICIANS HEALTHCARE HOSPITAL AT KINO",1.428520309
"152",30112,"ARIZONA ORTHOPEDIC SURGICAL HOSPITAL",2.213318398
"153",30113,"WHITERIVER PHS INDIAN HOSPITAL",0.942062147
"154",30114,"ORO VALLEY HOSPITAL",1.465420085
"155",30115,"BANNER ESTRELLA MEDICAL CENTER",1.52137609
"156",30117,"VALLEY VIEW MEDICAL CENTER",1.352581798
"157",30118,"YAVAPAI REGIONAL MEDICAL CENTER-EAST",1.34335877
"158",30119,"MERCY GILBERT MEDICAL CENTER",1.656703029
"159",30120,"GILBERT HOSPITAL",1.033970448
"160",30121,"""MOUNTAIN VISTA MEDICAL CENTER, LP""",1.844145906
"161",30122,"BANNER GATEWAY MEDICAL CENTER",1.460098214
"162",30123,"SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL",1.783110449
"163",30126,"ARIZONA REGIONAL MEDICAL CENTER",1.91540527
"164",30130,"BANNER IRONWOOD MEDICAL CENTER",1.226547517
"165",30131,NA,2.528346299
"166",30132,NA,1.039351874
"167",40001,"SILOAM SPRINGS MEMORIAL HOSPITAL",1.066872529
"168",40002,"JOHNSON REGIONAL MEDICAL CENTER",1.100415766
"169",40004,"WASHINGTON REGIONAL MED CTR AT NORTH HILLS",1.696914888
"170",40007,"ST VINCENT INFIRMARY MEDICAL CENTER",1.921197438
"171",40010,"MERCY MEDICAL CENTER",1.642502581
"172",40011,"""JOHN ED CHAMBERS MEM HOSP, INC""",1.048057089
"173",40014,"WHITE COUNTY MEDICAL CENTER",1.370682702
"174",40015,"MENA REGIONAL HEALTH SYSTEM",1.114166876
"175",40016,"UAMS MEDICAL CENTER",1.766378428
"176",40017,"NORTH ARKANSAS REGIONAL MEDICAL CENTER",1.304095105
"177",40018,"SUMMIT MEDICAL CENTER",1.070845431
"178",40019,"FORREST CITY MEDICAL CENTER",1.005810696
"179",40020,"ST BERNARDS MEDICAL CTR",1.689306564
"180",40022,"""NW ARKANSAS HOSPITALS, LLC""",1.529574548
"181",40026,"ST JOSEPHS MERCY HEALTH CENTER INC",1.597371893
"182",40027,"BAXTER REGIONAL MEDICAL CENTER",1.504918959
"183",40029,"CONWAY REGIONAL MEDICAL CENTER",1.511630409
"184",40036,"BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK",1.569884138
"185",40039,"ARKANSAS METHODIST MEDICAL CENTER",1.19275062
"186",40041,"ST MARYS REGIONAL MEDICAL CENTER",1.311631925
"187",40042,"CRITTENDEN MEMORIAL HOSPITAL",1.327519615
"188",40047,"FIVE RIVERS MEDICAL CENTER",1.041828958
"189",40050,"OUACHITA COUNTY MEDICAL CENTER",1.124439656
"190",40051,"DREW MEMORIAL HOSPITAL",0.982161453
"191",40055,"SPARKS REGIONAL MEDICAL CENTER",1.572759489
"192",40062,"ST EDWARD MERCY MEDICAL CENTER",1.670216875
"193",40067,"MAGNOLIA HOSPITAL",1.13023632
"194",40069,"GREAT RIVER MEDICAL CENTER",1.058921041
"195",40071,"JEFFERSON REGIONAL MEDICAL CENTER",1.536130504
"196",40072,"BAPTIST HEALTH MEDICAL CENTER-STUTTGART",1.014207413
"197",40074,"NORTH METRO MEDICAL CENTER",1.148949686
"198",40076,"HOT SPRING COUNTY MEDICAL CENTER",0.960336069
"199",40078,"NATIONAL PARK MEDICAL CENTER",1.591324588
"200",40080,"HARRIS HOSPITAL",1.020911198
"201",40084,"SALINE MEMORIAL HOSPITAL",1.363378651
"202",40085,"HELENA REGIONAL MEDICAL CENTER",1.039482436
"203",40088,"MEDICAL CENTER SOUTH ARKANSAS",1.461558287
"204",40091,"MEDICAL PARK HOSPITAL",1.165325957
"205",40114,"BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK",1.764925536
"206",40118,"NEA MEDICAL CENTER",1.615591406
"207",40119,"WHITE RIVER MEDICAL CENTER",1.563970137
"208",40134,"ARKANSAS HEART HOSPITAL",2.191958095
"209",40137,"ST VINCENT MEDICAL CENTER/NORTH",1.182299687
"210",40147,"ARKANSAS SURGICAL HOSPITAL",2.121497854
"211",40152,"PHYSICIANS' SPECIALTY HOSPITAL",2.253053922
"212",50002,"ST ROSE HOSPITAL",1.507728224
"213",50006,"ST JOSEPH HOSPITAL",1.835943147
"214",50007,"PENINSULA MEDICAL CENTER",1.634256791
"215",50008,"CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP",1.818295525
"216",50009,"QUEEN OF THE VALLEY MEDICAL CENTER",1.765115043
"217",50013,"ST HELENA HOSPITAL",1.937647379
"218",50014,"SUTTER AMADOR HOSPITAL",1.316615589
"219",50016,"ARROYO GRANDE COMMUNITY HOSPITAL",1.498359797
"220",50017,"MERCY GENERAL HOSPITAL",2.275642062
"221",50018,"PACIFIC ALLIANCE MEDICAL CENTER",1.300472511
"222",50022,"RIVERSIDE COMMUNITY HOSPITAL",1.775116366
"223",50024,"PARADISE VALLEY HOSPITAL",1.329919769
"224",50025,"UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER",2.057760491
"225",50026,"GROSSMONT HOSPITAL",1.617723254
"226",50028,"MAD RIVER COMMUNITY HOSPITAL",1.330687675
"227",50030,"OROVILLE HOSPITAL",1.340141211
"228",50036,"BAKERSFIELD MEMORIAL HOSPITAL",1.686021266
"229",50038,"SANTA CLARA VALLEY MEDICAL CENTER",1.776748229
"230",50039,"ENLOE MEDICAL CENTER",1.709178079
"231",50040,"LAC/OLIVE VIEW-UCLA MEDICAL CENTER",1.333034196
"232",50042,"ST ELIZABETH COMMUNITY HOSPITAL",1.316027832
"233",50043,"ALTA BATES SUMMIT MEDICAL CENTER--SUMMIT CAMPUS",1.701231948
"234",50045,"EL CENTRO REGIONAL MEDICAL CENTER",1.393356168
"235",50046,"OJAI VALLEY COMMUNITY HOSPITAL",1.239268154
"236",50047,"CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP",1.951935991
"237",50054,"SAN GORGONIO MEMORIAL HOSPITAL",1.357242558
"238",50055,"CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS",1.559887529
"239",50056,"ANTELOPE VALLEY HOSPITAL MED CENTER",1.573588451
"240",50057,"KAWEAH DELTA MEDICAL CENTER",1.691670782
"241",50058,"GLENDALE MEM HOSPITAL & HLTH CENTER",1.669466785
"242",50060,"COMMUNITY REGIONAL MEDICAL CENTER",1.778421459
"243",50063,"HOLLYWOOD PRESBYTERIAN MEDICAL CENTER",1.732177777
"244",50067,"OAK VALLEY DISTRICT HOSPITAL",1.265019181
"245",50069,"ST JOSEPH HOSPITAL",2.147494693
"246",50070,"KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO",1.67427546
"247",50071,"KAISER FOUNDATION HOSPITAL-SANTA CLARA",1.993206229
"248",50072,"KAISER FOUNDATION HOSPITAL - WALNUT CREEK",1.514501195
"249",50073,"KAISER FOUNDATION HOSPITAL AND REHAB CENTER",1.616329027
"250",50075,"KAISER FOUNDATION HOSPITAL OAKLAND/RICHMOND",1.634043122
"251",50076,"KAISER FOUNDATION HOSPITAL - SAN FRANCISCO",2.089901471
"252",50077,"SCRIPPS MERCY HOSPITAL",1.65112735
"253",50078,"PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO",1.527055755
"254",50079,"DOCTORS MEDICAL CENTER-SAN PABLO",1.467065224
"255",50082,"ST JOHNS REGIONAL MEDICAL CENTER",1.691352828
"256",50084,"ST JOSEPHS MED CENTER OF STOCKTON",1.803511144
"257",50089,"COMMUNITY HOSPITAL OF SAN BERNARDINO",1.44116705
"258",50090,"SONOMA VALLEY HOSPITAL",1.502387381
"259",50091,"COMMUNITY AND MISSION  HOSPITAL OF HUNTINGTON PARK",1.13829695
"260",50093,"SAINT AGNES MEDICAL CENTER",1.664444327
"261",50096,"""DOCTORS HOSPITAL OF WEST COVINA, INC""",2.026907145
"262",50099,"SAN ANTONIO COMMUNITY HOSPITAL",1.806530461
"263",50100,"SHARP MEMORIAL HOSPITAL",1.904808291
"264",50101,"SUTTER SOLANO MEDICAL CENTER",1.630688941
"265",50102,"PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER",1.688528737
"266",50103,"WHITE MEMORIAL MEDICAL CENTER",1.612601728
"267",50104,"SAINT FRANCIS MEDICAL CENTER",1.55054597
"268",50107,"MARIAN MEDICAL CENTER",1.748515858
"269",50108,"SUTTER GENERAL HOSPITAL",2.068202985
"270",50110,"LOMPOC VALLEY MEDICAL CENTER",1.289519997
"271",50111,"TEMPLE COMMUNITY HOSPITAL",1.175550546
"272",50112,"SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL",1.628825719
"273",50113,"SAN MATEO MEDICAL CENTER",1.347318993
"274",50115,"PALOMAR MEDICAL CENTER",1.70219499
"275",50116,"NORTHRIDGE HOSPITAL MEDICAL CENTER",1.679983397
"276",50118,"DOCTORS HOSPITAL OF MANTECA",1.206756869
"277",50121,"HANFORD COMMUNITY MEDICAL CENTER",1.367499406
"278",50122,"DAMERON HOSPITAL",1.805483733
"279",50124,"VERDUGO HILLS HOSPITAL",1.378162995
"280",50125,"REGIONAL MEDICAL CENTER OF SAN JOSE",1.68325917
"281",50126,"VALLEY PRESBYTERIAN HOSPITAL",1.82074865
"282",50127,"WOODLAND MEMORIAL HOSPITAL",1.608952837
"283",50128,"TRI-CITY MEDICAL CENTER",1.664597895
"284",50129,"ST BERNARDINE MEDICAL CENTER",1.947945119
"285",50131,"NOVATO COMMUNITY HOSPITAL",1.547661281
"286",50132,"SAN GABRIEL VALLEY MEDICAL CENTER",1.603740422
"287",50133,"RIDEOUT MEMORIAL HOSPITAL",1.467393435
"288",50135,"HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD",1.197003221
"289",50136,"PETALUMA VALLEY HOSPITAL",1.375731001
"290",50137,"KAISER FOUNDATION HOSPITAL - PANORAMA CITY",1.672730408
"291",50138,"KAISER FOUNDATION HOSPITAL - LOS ANGELES",2.262135323
"292",50139,"KAISER FOUNDATION HOSPITAL - DOWNEY",1.673786972
"293",50140,"KAISER FOUNDATION HOSPITAL FONTANA",1.605752967
"294",50145,"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA",1.770426661
"295",50149,"CALIFORNIA HOSPITAL MEDICAL CENTER LA",1.531313787
"296",50150,"SIERRA NEVADA MEMORIAL HOSPITAL",1.422202617
"297",50152,"SAINT FRANCIS MEMORIAL HOSPITAL",1.683028137
"298",50153,"O'CONNOR HOSPITAL",1.812830236
"299",50158,"ENCINO HOSPITAL MEDICAL CENTER",1.560099966
"300",50159,"VENTURA COUNTY MEDICAL CENTER",1.49514932
"301",50167,"SAN JOAQUIN GENERAL HOSPITAL",1.558415507
"302",50168,"ST JUDE MEDICAL CENTER",1.720193919
"303",50169,"PRESBYTERIAN INTERCOMMUNITY HOSPITAL",1.826235175
"304",50174,"SANTA ROSA MEMORIAL HOSPITAL",1.744588579
"305",50179,"EMANUEL MEDICAL CENTER INC",1.407868088
"306",50180,"JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS",1.676259103
"307",50189,"GEORGE L MEE MEMORIAL HOSPITAL",1.230223285
"308",50191,"ST MARY MEDICAL CENTER",1.658662594
"309",50192,"SIERRA KINGS DISTRICT HOSPITAL",0.912373187
"310",50194,"WATSONVILLE COMMUNITY HOSPITAL",1.514758392
"311",50195,"WASHINGTON HOSPITAL",1.693823784
"312",50196,"CENTRAL VALLEY GENERAL HOSPITAL",0.6601
"313",50197,"SEQUOIA HOSPITAL",1.912231682
"314",50204,"PALMDALE REGIONAL MEDICAL CENTER",1.500998097
"315",50205,"EAST VALLEY HOSPITAL MEDICAL CENTER",1.182823107
"316",50211,"ALAMEDA HOSPITAL",1.378426891
"317",50222,"SHARP CHULA VISTA MEDICAL CENTER",1.628424143
"318",50224,"HOAG MEMORIAL HOSPITAL PRESBYTERIAN",1.972961962
"319",50225,"FEATHER RIVER HOSPITAL",1.479070639
"320",50226,"AHMC ANAHEIM REGIONAL MEDICAL CENTER",1.564083115
"321",50228,"SAN FRANCISCO GENERAL HOSPITAL",1.464568258
"322",50230,"GARDEN GROVE HOSPITAL & MEDICAL CENTER",1.717065485
"323",50231,"POMONA VALLEY HOSPITAL MEDICAL CENTER",1.936893723
"324",50232,"FRENCH HOSPITAL MEDICAL CENTER",1.770802968
"325",50234,"SHARP CORONADO HOSPITAL AND HLTHCR CTR",1.58850825
"326",50235,"PROVIDENCE SAINT JOSEPH MEDICAL CTR",1.715961746
"327",50236,"SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES",1.437702991
"328",50238,"METHODIST HOSPITAL OF SOUTHERN CA",1.685197718
"329",50239,"GLENDALE ADVENTIST MEDICAL CENTER",1.692004157
"330",50242,"DOMINICAN HOSPITAL",1.525252389
"331",50243,"DESERT REGIONAL MEDICAL CENTER",1.631849509
"332",50245,"ARROWHEAD REGIONAL MEDICAL CENTER",1.469171933
"333",50248,"NATIVIDAD MEDICAL CENTER",1.247315358
"334",50254,"MARSHALL MEDICAL CENTER (1-RH)",1.539168065
"335",50257,"GOOD SAMARITAN HOSPITAL",1.018440143
"336",50261,"SIERRA VIEW DISTRICT HOSPITAL",1.359570469
"337",50262,"RONALD REAGAN UCLA MEDICAL CENTER",2.387709798
"338",50272,"REDLANDS COMMUNITY HOSPITAL",1.627728669
"339",50276,"CONTRA COSTA REGIONAL MEDICAL CENTER",1.228638408
"340",50277,"PACIFIC HOSPITAL OF LONG BEACH",1.195011893
"341",50278,"PROVIDENCE HOLY CROSS MEDICAL CENTER",1.647985071
"342",50279,"HI-DESERT MEDICAL CENTER",1.247729461
"343",50280,"MERCY MEDICAL CENTER REDDING",1.952725199
"344",50281,"ALHAMBRA HOSPITAL MEDICAL CENTER",1.589723063
"345",50283,"VALLEYCARE MEDICAL CENTER",1.905498756
"346",50289,"SETON MEDICAL CENTER",1.777339322
"347",50290,"SAINT JOHN'S HEALTH CENTER",1.894987396
"348",50291,"SUTTER MEDICAL CENTER OF SANTA ROSA",1.902871183
"349",50292,"RIVERSIDE COUNTY REGIONAL MEDICAL CENTER",1.342173117
"350",50295,"MERCY HOSPITAL",1.592658296
"351",50296,"HAZEL HAWKINS MEMORIAL HOSPITAL",1.137742565
"352",50298,"BARSTOW COMMUNITY HOSPITAL",1.287448947
"353",50300,"ST MARY MEDICAL CENTER",1.541009736
"354",50301,"UKIAH VALLEY MEDICAL CENTER/HOSPITAL D",1.332457958
"355",50305,"ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP",1.58720438
"356",50308,"EL CAMINO HOSPITAL",1.9137855
"357",50309,"SUTTER ROSEVILLE MEDICAL CENTER",1.52916519
"358",50313,"SUTTER TRACY COMMUNITY HOSPITAL",1.300417616
"359",50315,"KERN MEDICAL CENTER",1.687945782
"360",50320,"ALAMEDA COUNTY MEDICAL CENTER",1.297167396
"361",50324,"SCRIPPS MEMORIAL HOSPITAL LA JOLLA",2.000763704
"362",50327,"LOMA LINDA UNIVERSITY MEDICAL CENTER",1.944270434
"363",50329,"CORONA REGIONAL MEDICAL CENTER",1.556080197
"364",50334,"SALINAS VALLEY MEMORIAL HOSPITAL",1.683667428
"365",50335,"SONORA REGIONAL MEDICAL CENTER",1.599141157
"366",50336,"LODI MEMORIAL HOSPITAL",1.521048007
"367",50342,"PIONEERS MEMORIAL HEALTHCARE DISTRICT",1.278551325
"368",50348,"UNIV OF CALIFORNIA IRVINE MED CENTER",2.036540931
"369",50349,"CORCORAN DISTRICT HOSPITAL",0.803876858
"370",50350,"BEVERLY HOSPITAL",1.462060085
"371",50351,"TORRANCE MEMORIAL MEDICAL CENTER",1.701495775
"372",50352,"BARTON MEMORIAL HOSPITAL",1.509441493
"373",50353,"PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE",1.63557227
"374",50357,"GOLETA VALLEY COTTAGE HOSPITAL",1.679418771
"375",50359,"TULARE REGIONAL MEDICAL CENTER",1.254448119
"376",50360,"MARIN GENERAL HOSPITAL",1.659987847
"377",50367,"NORTHBAY MEDICAL CENTER",1.564526013
"378",50373,"LAC+USC MEDICAL CENTER",1.617474867
"379",50376,"LAC/HARBOR-UCLA MED CENTER",1.888168846
"380",50378,"PACIFICA HOSPITAL OF THE VALLEY",1.139518963
"381",50380,"GOOD SAMARITAN HOSPITAL",1.785870703
"382",50382,"CITRUS VALLEY MEDICAL CENTER-IC CAMPUS",1.560062202
"383",50385,"PALM DRIVE HOSPITAL",1.581965045
"384",50390,"HEMET VALLEY MEDICAL CENTER",1.397624247
"385",50393,"DOWNEY REGIONAL MEDICAL CENTER",1.443065141
"386",50394,"COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA",1.772637944
"387",50396,"SANTA BARBARA COTTAGE HOSPITAL",1.718682821
"388",50397,"COALINGA REGIONAL MEDICAL CENTER",0.912283157
"389",50407,"CHINESE HOSPITAL",1.200705514
"390",50411,"KAISER FOUNDATION HOSPITAL - HARBOR CITY",1.455184982
"391",50414,"MERCY HOSPITAL OF FOLSOM",1.464601299
"392",50417,"SUTTER COAST HOSPITAL",1.293680568
"393",50423,"PALO VERDE HOSPITAL",1.113448988
"394",50424,"SCRIPPS GREEN HOSPITAL",2.361994693
"395",50425,"KAISER FOUNDATION HOSPITAL - SACRAMENTO/ROSEVILLE",1.817630626
"396",50426,"WEST ANAHEIM MEDICAL CENTER",1.736454237
"397",50434,"COLUSA REGIONAL MEDICAL CENTER",0.9223128
